Product,Quantity,Sale Date,Customer,City,State,Unit Price,Total Value
kitchen,6,2023-04-08,Wesley Garrett,Port Whitney,SC,89.29,535.74
follow,3,2023-07-18,Gina Martinez,North Ryan,VT,44.44,133.32
near,3,2023-12-05,Diana Stewart,Josephview,KS,67.74,203.22
water,3,2023-03-03,David Perez,East Rachel,PW,16.16,48.48
scene,10,2023-11-28,Lindsey Hendrix,West Elizabeth,AL,10.76,107.6
able,3,2023-03-20,Kristine Gonzalez,North Heather,MS,49.61,148.83
recognize,4,2023-10-26,Katie Aguilar,Port Jonathan,WV,66.53,266.12
successful,3,2023-07-03,Keith Murray,Anthonybury,PW,92.79,278.37
source,10,2023-01-27,Jill Williams,Brookschester,OR,71.79,717.9
through,4,2023-03-07,Aaron Powell,Port Tommy,MS,17.8,71.2
the,2,2023-08-04,James Horne,Meganton,FL,22.6,45.2
young,2,2023-11-17,Brittany Smith,Taylorhaven,WI,63.06,126.12
cup,7,2023-12-13,Charles Price,North Robert,FL,41.64,291.48
without,7,2023-05-28,Kevin Johnson,Lake Levi,SD,38.31,268.17
tonight,3,2023-05-22,Zoe Ward,Stephenfort,TX,32.3,96.9
perform,2,2023-08-03,Maria Ramos,Elizabethland,ID,32.34,64.68
although,10,2023-01-18,Katherine Williams,Port Teresaland,MP,64.0,640.0
suddenly,10,2023-05-04,Beverly Rush,Andrewmouth,AK,35.64,356.4
word,1,2023-11-11,Rebecca Cooper,Kimberlyton,GA,86.31,86.31
study,5,2023-06-21,Edward Humphrey,South Susan,AS,28.49,142.45
mind,10,2023-07-23,Amber Martinez,Lake Johnchester,IN,55.86,558.6
defense,7,2023-05-01,Kathryn Velasquez,North Ericabury,MN,36.6,256.2
area,1,2023-02-07,Sean Stevens,South Travis,ND,80.54,80.54
computer,4,2023-03-09,Gina Davis,East Craig,CA,54.54,218.16
develop,2,2023-01-06,Kenneth Anderson,West Theresa,OK,31.7,63.4
affect,10,2023-08-15,Heidi Austin,West Alexandra,GU,16.39,163.9
candidate,1,2023-11-01,Erin Moran,East Johnville,WV,98.82,98.82
fire,6,2023-02-03,Laura Le,Donovanburgh,NM,21.88,131.28
seat,10,2023-09-06,Brandon Hernandez,West Jennifer,AL,47.88,478.8
type,9,2023-10-05,Jane Carrillo,New Andrewton,CT,71.46,643.14
suddenly,8,2023-11-17,Jessica Burns,West Clayton,NH,95.9,767.2
piece,2,2023-07-26,Richard Lee,Sydneyport,NE,11.5,23.0
result,2,2023-12-16,Nancy Gonzalez,New Jeffrey,NM,11.24,22.48
cost,4,2023-07-14,Cindy Davis,Lake Angela,LA,13.58,54.32
window,1,2023-05-23,Lisa Young MD,Yolandaborough,MO,95.38,95.38
either,7,2023-08-08,Elizabeth Cook,Deanborough,LA,55.59,389.13
international,9,2023-08-19,Katrina Chung,Joshuatown,ID,79.04,711.36
official,7,2023-02-27,Julie Davis,North Williamborough,IN,73.16,512.12
month,2,2023-10-18,Sean Wheeler,Espinozastad,MS,67.65,135.3
role,9,2023-07-14,Jessica Sloan,Sullivantown,WA,65.44,588.96
system,5,2023-08-30,Jonathan Myers,New Gavin,WA,17.52,87.6
make,2,2023-08-06,Lauren Villarreal,Angelastad,GA,56.02,112.04
song,4,2023-02-12,Michael Johnson,East Angelaborough,IL,97.69,390.76
way,3,2023-10-16,Joe Melton,East Tanya,VI,58.28,174.84
together,7,2023-11-26,Christopher Davis,Lake Seanmouth,MH,62.78,439.46
least,2,2023-02-19,Shari Macdonald,East Marvin,NE,37.92,75.84
reach,7,2023-11-06,Albert Bridges,West Larry,NH,75.7,529.9
among,4,2023-10-14,Corey Alexander,New Kimberlyview,CT,15.21,60.84
drive,2,2023-10-02,Joe Clark,West Amymouth,WV,93.22,186.44
or,2,2023-10-07,Hannah Chang,North Karinaland,KY,50.8,101.6
animal,10,2023-08-01,Nathan Sharp,West Samuel,OH,14.95,149.5
management,3,2023-12-12,Matthew Mcneil,North Shawn,NC,20.75,62.25
large,3,2023-10-08,Sarah Stewart,Port Phyllismouth,NC,73.13,219.39
western,3,2023-05-04,Diane Webb,Davisland,SD,54.68,164.04
class,6,2023-05-27,Leslie Jones,North Madelineside,AR,57.07,342.42
wall,5,2023-08-11,Samantha Hansen,Randyville,NC,25.03,125.15
always,3,2023-11-28,Kelsey Shepherd,Jacobsonberg,PA,77.48,232.44
she,5,2023-09-30,Jeremy Esparza,Lake Allenshire,ND,75.96,379.8
mind,2,2023-06-06,Tasha Whitaker,Susanville,CA,79.43,158.86
hard,1,2023-03-04,Megan Burgess,Tranberg,OH,40.15,40.15
hundred,7,2023-11-04,Rachel Miller,Lake Angela,NC,34.48,241.36
do,2,2023-06-23,Rhonda Tran,Rodneychester,MH,33.67,67.34
maybe,10,2023-02-22,Mary Sullivan,New Richardshire,MA,66.48,664.8
meet,8,2023-06-03,Oscar Jones,Daltonfort,TN,50.97,407.76
thought,6,2023-08-31,Angel Williams,New Adrianton,NC,14.99,89.94
several,10,2023-10-22,William Brown,Meganburgh,MO,25.02,250.2
happen,3,2023-11-01,Casey Dillon,West Morganhaven,PW,32.96,98.88
food,2,2023-03-15,Christopher Harper,New Christian,IN,90.48,180.96
wide,2,2023-08-25,Paige Carter,Danaland,TN,30.56,61.12
answer,9,2023-07-09,Mark Miller,Ethantown,MP,10.23,92.07
already,1,2023-04-21,Gary Morris,East Charleshaven,MA,32.01,32.01
campaign,8,2023-06-20,Eric Harris,West Shannonport,MT,42.76,342.08
agency,3,2023-10-10,John Thomas,New Bryce,ND,26.11,78.33
authority,1,2023-07-24,Jeffrey Hicks,West Kylie,IN,59.76,59.76
scene,7,2023-07-29,Daniel Lucas,South Tyler,SC,30.21,211.47
letter,4,2023-05-21,Nicholas Franklin,Port Vanessaland,WI,47.46,189.84
audience,6,2023-02-10,Emily Sellers,Lake Melinda,TX,34.41,206.46
stuff,2,2023-08-31,Isaiah Hall,Juanmouth,MN,61.44,122.88
about,2,2023-05-26,Sherri Mathews,Port Dawn,TN,55.18,110.36
tend,1,2023-03-16,Darrell Mcmahon,East Jennifer,NM,26.14,26.14
teach,9,2023-03-19,Maurice Torres,Lake Annefurt,NH,98.33,884.97
she,7,2023-04-23,Christina Wilkinson,Downstown,GA,16.2,113.4
bit,8,2023-12-11,Karen Williams,West Alyssabury,CA,87.94,703.52
magazine,5,2023-02-24,Lisa Anderson,Benjaminmouth,TX,39.46,197.3
guy,9,2023-10-26,Deborah Page,Port Donna,MH,51.11,459.99
parent,6,2023-12-12,Kelly Love,Lake Lisa,NC,28.06,168.36
miss,10,2023-09-27,Christopher Raymond,Freemanmouth,ID,80.61,806.1
ground,10,2023-04-03,Cassandra Blair,North Nathan,CO,31.83,318.3
score,6,2023-04-24,Anna Brooks,Williamschester,HI,63.25,379.5
third,8,2023-06-05,Danielle Salazar,Annaland,VI,99.8,798.4
pass,4,2023-01-09,Roger Lewis,North Markview,CT,75.92,303.68
nation,9,2023-12-14,Rebecca Powell,Christophermouth,NE,78.44,705.96
campaign,4,2023-05-21,Lindsey Chang,Tonyahaven,IA,23.55,94.2
stock,7,2023-05-19,Nicholas Giles,New Antoniofurt,RI,12.15,85.05
culture,9,2023-03-23,Sarah Beck,Lake James,AZ,41.18,370.62
pressure,1,2023-09-14,Stephanie Garcia,Port Carlos,MO,95.59,95.59
citizen,1,2023-01-04,Eric Gonzalez,Lake Jeremiah,OH,78.3,78.3
thing,7,2023-11-10,Samuel Mathews,Brendatown,UT,86.41,604.87
summer,5,2023-04-23,Luis Friedman,West Michael,MP,19.36,96.8
require,9,2023-07-21,Daniel Allen,Lake Kevinmouth,WV,98.48,886.32
its,7,2023-11-23,Terry Davis,Tylerview,HI,54.28,379.96
will,1,2023-07-29,Kathy Fry,East Kevinchester,AS,97.53,97.53
son,3,2023-06-20,Nicole Krause,Port Christineberg,PA,74.05,222.15
new,2,2023-10-30,Joseph Lopez,East Jason,IN,13.95,27.9
attention,4,2023-07-09,Gary Moore,Lawrenceberg,NC,90.76,363.04
few,9,2023-02-06,Christopher Lewis,Carrillobury,IL,47.18,424.62
simply,6,2023-10-21,Christine Romero,East Barbaraport,PR,51.26,307.56
weight,2,2023-08-28,Omar Cook,Lake Tommyside,WA,62.27,124.54
just,9,2023-07-07,Ryan Lambert,Lake Michaelchester,NY,22.02,198.18
place,7,2023-07-27,Adrienne Hill,North Mary,ND,16.73,117.11
goal,10,2023-03-09,Lance Davis,West Katherineland,UT,15.61,156.1
see,3,2023-03-07,William Walters,North Christina,NY,31.31,93.93
skill,5,2023-05-13,Julia Schroeder,Patrickbury,MN,86.58,432.9
PM,7,2023-01-07,Scott Macias,North Dillon,WI,73.07,511.49
scene,6,2023-09-11,Jorge Smith,North Taylorshire,CA,38.63,231.78
determine,5,2023-08-10,Robert Leach,East Sabrina,DE,31.03,155.15
seek,4,2023-11-20,Stacey Barber,Dantown,NH,22.25,89.0
according,10,2023-11-20,Jennifer Flores,North Jenniferbury,PA,19.81,198.1
account,2,2023-04-02,Kristin Sosa,Pennyshire,WA,24.79,49.58
strategy,8,2023-01-07,Melissa Stein,Simmonshaven,CO,38.26,306.08
service,2,2023-12-21,Joseph Lane,New Laura,PW,58.23,116.46
too,4,2023-01-27,Frank Ruiz,New Nathanberg,UT,50.67,202.68
cover,8,2023-07-14,Allison Rush,New Williamfort,WV,33.85,270.8
plant,2,2023-04-17,Richard Burke,Nguyenberg,WI,18.14,36.28
site,5,2023-12-09,Maria Hill,North Michelleville,KY,84.37,421.85
eye,10,2023-09-08,Sarah Johnson,Cervanteschester,VA,13.63,136.3
clear,6,2023-09-18,Lisa Mccormick,Johnsonport,FL,23.35,140.1
project,4,2023-04-12,Mark Carter,Hughesshire,NY,97.16,388.64
my,7,2023-09-17,Michael Weaver,Danielton,ID,56.21,393.47
instead,5,2023-01-08,Teresa Stewart,New Jenniferhaven,MS,33.42,167.1
administration,3,2023-02-23,Hayden Lopez,Port Thomas,CT,12.8,38.4
important,7,2023-02-14,Alec Mcintosh,South Christina,TX,86.91,608.37
top,9,2023-07-06,Richard Cooper,New Lisafort,MD,77.33,695.97
something,4,2023-11-01,Carol Edwards,North Kelly,MO,18.53,74.12
major,2,2023-06-18,Ryan Rios,Walkermouth,MH,82.35,164.7
about,3,2023-05-18,Randall Burgess,South Monica,RI,20.93,62.79
special,1,2023-04-20,Adam Barron,Nicholsontown,CO,84.73,84.73
against,4,2023-07-14,Rachel Smith,Port Joseph,KY,21.76,87.04
middle,7,2023-06-04,Sophia Cunningham,Yolandamouth,CO,43.5,304.5
fund,2,2023-04-05,Edward Norman,Collinsshire,RI,62.41,124.82
full,5,2023-10-08,Kimberly Arroyo,Lake Davidville,OK,92.57,462.85
interest,2,2023-12-11,Benjamin Hall,Jamesbury,SC,11.96,23.92
instead,2,2023-05-24,Christina Fox,Perezburgh,HI,27.8,55.6
where,8,2023-06-27,Scott Mendoza,West Sharonburgh,MA,82.84,662.72
picture,2,2023-08-15,Jordan Salazar,West Kathleenville,AZ,91.46,182.92
among,6,2023-10-31,Matthew Aguilar,East Marilynhaven,PW,21.03,126.18
man,8,2023-04-23,Nicholas Mendoza,Smithside,GA,14.56,116.48
conference,10,2023-12-01,Joseph Gallagher,North Seanmouth,LA,48.98,489.8
seat,7,2023-06-03,David Lawson,Whitefort,NE,54.65,382.55
soon,7,2023-12-22,Jeremy Davis,Richtown,IL,71.49,500.43
just,3,2023-04-19,Jacob Preston,Merrittside,FL,41.85,125.55
record,3,2023-05-02,Steven Stout,North Charlesshire,ID,34.75,104.25
those,8,2023-07-06,Ryan Taylor,East Anna,CO,89.51,716.08
family,1,2023-07-16,Alyssa Vega,Montgomerybury,AL,65.27,65.27
get,10,2023-05-08,Jennifer Strickland,North Jamesview,SC,32.12,321.2
this,5,2023-03-03,Curtis Williamson,Port Daniel,IN,54.9,274.5
since,9,2023-09-09,Victoria Brown,Huynhview,MI,53.11,477.99
response,2,2023-04-09,Isaac Phillips,Simmonsview,OK,35.18,70.36
different,3,2023-06-25,Jacqueline Barrett,Williamfurt,OH,47.73,143.19
trade,9,2023-07-18,David Taylor,New Abigail,GA,32.42,291.78
modern,9,2023-10-07,April Savage,Kimstad,MP,81.54,733.86
author,7,2023-11-06,Calvin Jones,Saundersborough,MT,80.37,562.59
traditional,6,2023-08-23,Andrew Harris,Port Laurenland,WA,53.17,319.02
hair,8,2023-06-21,Daniel Evans,New Sharonmouth,IN,40.96,327.68
Democrat,10,2023-11-18,Kara Rodriguez,South Elizabethberg,AS,55.22,552.2
gun,7,2023-07-18,Mrs. Savannah Underwood,Samanthaburgh,IN,34.34,240.38
security,1,2023-07-24,Sydney Villegas,Joshuaburgh,AL,38.7,38.7
third,4,2023-08-16,Erin Macias,New Haleyborough,PW,12.64,50.56
continue,5,2023-11-30,David Cook,South Scottport,MN,15.27,76.35
military,8,2022-12-29,Gregory Jones,West Martin,IL,57.65,461.2
might,10,2023-12-07,Jonathon Hall,East Sandrastad,OK,99.96,999.6
cut,3,2023-01-20,Anthony Lewis,Blanchardborough,KS,19.01,57.03
mouth,4,2023-01-26,Amy Martin,Aguirrebury,OH,33.99,135.96
participant,1,2023-11-29,Jason Rogers,Harveyhaven,CO,78.76,78.76
respond,4,2023-03-21,James Meyer,New Tammy,GA,61.81,247.24
already,7,2023-05-25,Miss Nicole Goodman,South Rodney,ME,41.93,293.51
page,3,2023-09-19,Joshua Curtis,Taylormouth,NV,25.85,77.55
hour,10,2023-12-25,Karen Williams,Rachelshire,ID,38.62,386.2
pick,6,2023-07-28,William Kelly,East Anthony,MN,92.26,553.56
meet,1,2023-02-08,Lauren Jennings,East Michael,ID,73.31,73.31
player,6,2023-01-06,Toni Patterson,Alvaradoborough,TX,95.28,571.68
hour,10,2023-03-25,Stephanie Diaz,New Marcbury,VI,22.79,227.9
small,4,2023-09-09,Heather Pena,Francisburgh,TN,85.3,341.2
hot,8,2023-05-07,Andrea Ward,East Jennifer,IL,58.79,470.32
debate,3,2023-12-15,Jon Rogers,Shannonfort,TN,54.14,162.42
visit,2,2023-11-10,Andrea Yates,Lake Erinburgh,VT,15.06,30.12
lead,10,2023-09-08,Sheila Massey,Mckinneyborough,SD,29.69,296.9
at,9,2023-11-28,Whitney Bell,Port Jeffrey,MH,53.02,477.18
page,6,2023-04-07,Anthony Boone,Stevenburgh,PA,92.61,555.66
design,4,2023-01-09,Richard Cruz,North Amy,VT,82.58,330.32
though,6,2023-11-03,Eileen Harvey,New Jakeshire,VA,74.52,447.12
rate,6,2023-08-16,Bradley Edwards,Wilsonfort,AL,15.36,92.16
like,3,2022-12-31,Dr. Stefanie Lucas DDS,Ericborough,WV,62.79,188.37
important,3,2023-08-26,Sharon Vaughn,West Richardside,IL,79.69,239.07
system,9,2023-07-26,Daniel Sullivan,Ashleyland,ND,87.46,787.14
type,2,2023-05-12,Cynthia Diaz,New Jenniferport,CT,43.62,87.24
letter,7,2023-05-18,David Ortiz,East Jeremystad,HI,62.74,439.18
wife,6,2023-01-06,Jeremy Haynes,North Nicoleton,MA,37.16,222.96
for,3,2023-11-25,Krista Jenkins,Cowanside,ND,97.83,293.49
federal,7,2023-08-08,Courtney Phillips,North Sarahburgh,SC,81.27,568.89
serious,8,2023-08-25,Jenny Merritt,Larryborough,ME,68.43,547.44
newspaper,3,2023-05-26,Catherine Vasquez,Gonzalezmouth,TX,73.65,220.95
other,9,2023-09-02,Stephanie Vargas,East Jordan,MS,72.42,651.78
themselves,10,2023-11-30,Brian Williams,New Michael,MH,80.83,808.3
success,4,2023-05-10,Andrew Pierce,Riveraton,PA,69.9,279.6
none,3,2023-10-13,Jesse James,Johnsonstad,AK,44.05,132.15
reduce,5,2023-05-15,Megan Watson,Clintonview,FM,21.46,107.3
full,1,2023-05-02,Kevin Wallace,South Patricia,FM,95.39,95.39
treat,10,2023-04-19,Christopher Davis,Port Annette,MA,45.24,452.4
raise,10,2023-01-19,Jessica Crawford,Phamport,WY,12.91,129.1
industry,10,2023-05-03,George Ferguson,Annstad,AR,38.64,386.4
claim,10,2023-03-13,Jose Pearson,Stephensborough,NV,29.88,298.8
apply,10,2023-01-13,Cristina West,North Pamela,GA,19.37,193.7
notice,8,2023-01-19,Benjamin Case,West Carolynland,UT,22.66,181.28
opportunity,2,2023-11-14,Tiffany Donaldson,North Aaronshire,NH,31.42,62.84
story,6,2023-09-06,Shane Allen,South Rebecca,MT,25.11,150.66
her,2,2023-02-11,Ronald Anthony,Lake Hannahchester,MN,83.95,167.9
week,6,2023-04-20,Dr. Joel Carr,Rossbury,SC,50.2,301.2
Republican,5,2022-12-30,Christopher Smith,Fisherfort,WY,28.87,144.35
end,2,2023-12-17,Tina Young,Port Maria,MA,41.54,83.08
stand,2,2023-02-01,Cameron Johnson,Tracyfort,LA,74.84,149.68
center,1,2023-06-25,Andrew Ray,Michaelhaven,WV,44.73,44.73
campaign,7,2023-02-05,David Watson,Jacksonview,NM,97.22,680.54
choice,7,2023-12-18,Tara Lawson,Michelleview,TX,54.38,380.66
apply,7,2023-02-12,Tanya Riley,Richardton,MN,41.61,291.27
could,7,2023-11-11,Joshua Long,North Luisburgh,VI,19.13,133.91
sea,8,2023-07-12,Nathaniel Carlson,Jeffreyside,ID,80.99,647.92
majority,10,2023-09-30,Dr. Vickie Jackson,New Donaldstad,DC,68.59,685.9
hundred,4,2023-07-20,Emily Mullins,New Danielle,SC,24.64,98.56
magazine,2,2023-03-03,Michelle Keith,Barrfort,MA,81.93,163.86
second,1,2023-08-30,Melissa Owens,Port Michael,NH,36.54,36.54
former,6,2023-06-30,Ashley Simpson,West Jessicastad,DC,33.5,201.0
method,2,2023-10-08,Robert Miller,Loganton,PR,16.68,33.36
where,3,2023-05-07,Carrie Jennings,West Kristen,MS,89.91,269.73
hand,3,2023-04-06,Roberto Mckinney,Smithtown,MP,75.88,227.64
professor,9,2023-06-21,Kristin Garcia,Willishaven,LA,94.77,852.93
less,2,2023-02-16,Rodney Garcia,Port Robert,NV,40.42,80.84
health,10,2023-02-23,Angel Ball,Lovestad,OR,90.39,903.9
pattern,1,2023-02-16,Mr. James Floyd MD,Johnton,NH,48.82,48.82
behavior,3,2023-11-18,Rachel Lopez,West Jacobburgh,MS,64.66,193.98
shake,7,2023-04-14,Amanda Silva,North James,MT,24.14,168.98
interesting,2,2023-08-19,Jesse Baker,North Wanda,WA,39.8,79.6
enter,4,2023-11-05,Daniel White,East Katrina,NE,46.84,187.36
relationship,9,2023-07-31,Derek Nelson,Collinsberg,LA,74.98,674.82
end,9,2023-09-03,Sabrina Houston,Jordanmouth,AL,33.87,304.83
near,5,2023-10-24,Mary Mendoza,Lake Jackie,KY,36.77,183.85
very,2,2023-06-03,Steven Martinez,Cruzmouth,NE,14.47,28.94
music,10,2023-05-06,Katherine Wilson,Ellisshire,NJ,59.47,594.7
week,8,2023-11-09,Kimberly Clark,Port Shaneside,WA,23.82,190.56
field,6,2023-04-12,Mark Nguyen,Port Kevinfurt,VA,10.34,62.04
dog,2,2023-11-06,Cody Hoover,West Larry,NY,36.51,73.02
ever,10,2023-05-31,Daniel Parker,West Ashleyfort,FL,53.23,532.3
rise,2,2023-04-07,Erin Perez,East Taylorbury,MI,12.32,24.64
process,3,2023-01-17,Andrew Flowers,East Kevin,LA,67.44,202.32
firm,2,2023-03-01,Kyle Smith,Port Jacquelineburgh,MH,52.62,105.24
stuff,2,2023-02-27,Juan Rangel,Andersonland,NJ,37.75,75.5
ten,7,2023-05-22,Kristin Quinn,Lake Jacob,NJ,52.39,366.73
adult,5,2023-12-18,Jessica Mann,North Danielfort,CT,18.2,91.0
look,9,2023-11-13,Aaron Sutton,Port Terrifurt,TX,44.88,403.92
major,6,2023-11-10,Amy Dawson,Perezhaven,MA,89.69,538.14
list,6,2023-06-10,James Martin,Port Michealhaven,GA,26.79,160.74
agent,1,2023-09-02,Shelby Beck,Karenfort,AK,33.7,33.7
hospital,8,2023-11-12,Debra Howard,South Seanfurt,TX,33.71,269.68
agree,5,2023-08-04,Austin Kim,West Kellyport,PA,60.78,303.9
commercial,3,2023-05-13,Shannon Simpson,Debramouth,NH,77.7,233.1
rock,2,2023-10-03,Kimberly Kramer,Jayberg,MT,17.71,35.42
doctor,6,2023-10-06,Jessica Johns,Port Adriana,PA,82.74,496.44
marriage,7,2023-07-13,Robert Anderson,West Zachary,IL,97.36,681.52
need,10,2023-05-15,Jose Weber,Christopherview,AL,30.48,304.8
age,1,2023-12-05,Jenna Gonzalez,Adamchester,SD,85.67,85.67
go,9,2023-07-26,Daniel Washington,Jacksonburgh,FM,47.68,429.12
we,9,2023-08-14,Marcus Cook,Lake Kevinfort,UT,71.84,646.56
even,8,2023-11-18,Kevin Ross,East Davidland,WI,61.54,492.32
hundred,4,2023-05-25,Robert Fisher,South Bruce,NE,52.86,211.44
most,2,2023-10-29,Daniel Bauer,Kanehaven,ID,45.53,91.06
anything,1,2023-04-13,Terry Brown,East Bethanyview,WV,55.19,55.19
draw,9,2023-04-07,James King,Lake Isabel,UT,82.04,738.36
outside,10,2023-02-27,Theresa Choi,Johntown,NC,23.27,232.7
doctor,8,2023-08-22,Thomas Cox,New Timothymouth,LA,25.56,204.48
all,3,2023-08-20,Michele Church,Sarahland,NM,97.49,292.47
amount,4,2023-09-25,Nicholas Wolf,Robertland,TN,21.36,85.44
hundred,7,2023-08-26,Marie Watkins,South John,DE,17.05,119.35
event,7,2023-04-13,Sarah Garcia,Butlerchester,SD,28.17,197.19
himself,3,2023-07-15,Theresa Medina,Walkertown,GA,85.07,255.21
use,5,2023-02-03,Bryan Hill,Port Judy,NH,38.78,193.9
several,2,2023-05-04,Mark Cantrell,Cowanmouth,AR,17.83,35.66
live,9,2023-06-01,Leslie Clark,South Lori,MN,45.76,411.84
should,6,2023-03-15,Dr. Erin Tapia,Port John,WA,87.1,522.6
issue,9,2023-08-09,Martin Chen,Lindseyshire,NH,51.23,461.07
former,1,2023-08-03,Zachary Williams,Kevinton,AK,80.79,80.79
drive,10,2023-05-29,John Gray,South Christopher,IN,62.88,628.8
thousand,7,2023-02-05,Stacey Moore,Clayberg,MA,20.13,140.91
camera,3,2023-08-31,Jimmy Hughes,New Chad,OK,23.34,70.02
all,10,2023-10-24,Cassandra Johnson,Catherinetown,VA,62.44,624.4
because,2,2023-01-15,Dominique Mason,Schneiderchester,TN,93.24,186.48
voice,10,2023-03-31,Julie Lee,East Christina,IN,80.16,801.6
industry,5,2023-02-10,Stephanie Banks,Lake Kyle,SD,88.07,440.35
player,6,2023-10-05,James Delacruz,North Juan,GA,89.01,534.06
music,5,2022-12-28,Julie West,East Timothyborough,MH,44.47,222.35
law,8,2023-07-28,Daniel Allen,Taylorton,MD,61.48,491.84
worker,8,2023-10-24,Kevin Dodson,Thomaston,AL,13.37,106.96
Congress,5,2023-07-16,Stephen Thomas,South Tracymouth,CA,46.27,231.35
recent,10,2023-11-19,George Perez,North Kathryn,WY,64.78,647.8
treat,7,2023-02-03,Margaret Martin,Cassandrastad,MP,13.49,94.43
woman,6,2023-10-08,Duane Irwin,West Paige,ME,72.15,432.9
determine,1,2023-10-22,Courtney Harris,South Michael,DC,77.12,77.12
nature,5,2023-04-18,Joshua Myers,Christinamouth,NY,90.73,453.65
mother,1,2023-12-14,Robin Jacobs,Myershaven,AL,40.41,40.41
exactly,5,2023-03-22,Larry Logan,Josephburgh,NC,37.99,189.95
challenge,8,2023-12-04,Daniel Murray,Maryburgh,OK,87.24,697.92
yeah,2,2023-07-18,Roy Shelton,West Lisaberg,PA,97.52,195.04
nation,4,2023-05-02,Samuel Williams,South Jennifer,MP,22.09,88.36
man,8,2023-06-21,Heather Olson,Diazshire,CT,79.66,637.28
head,6,2023-03-12,William Hopkins,Davidside,VT,34.25,205.5
exist,7,2023-10-24,John Cox,West Ashley,IA,64.45,451.15
many,2,2023-04-21,Donna Tapia,Wilsonburgh,MH,26.91,53.82
available,4,2023-03-16,Gabriel Summers,Kevinburgh,AL,92.21,368.84
old,7,2023-05-03,Kathryn Welch,New Michael,PR,76.69,536.83
house,9,2023-08-13,Carol Kent,North Lori,ID,88.05,792.45
question,1,2023-07-26,Bradley Rodriguez,New Travisborough,NC,56.37,56.37
history,3,2023-04-09,Zachary Lee,North Stephanie,SC,15.91,47.73
boy,9,2023-10-27,Justin Hall,Lindseyhaven,CT,46.3,416.7
edge,9,2023-01-12,Alicia Richardson,East Stacyview,AZ,89.14,802.26
sure,1,2023-04-11,Martin Dominguez,Loganstad,MT,25.64,25.64
family,4,2023-01-04,Clinton Osborne,New Daniel,OR,85.33,341.32
memory,4,2023-10-04,Casey Reynolds,Lake Jacob,PR,12.98,51.92
production,1,2023-01-08,Brad Murphy MD,Port Evan,NV,92.62,92.62
hair,4,2023-03-07,Wayne Schmidt,East Brandonburgh,OH,34.66,138.64
he,8,2023-04-15,Lisa Brooks,South Brittneyside,OH,55.46,443.68
program,2,2023-03-01,Sheri Johnson,East Shannonburgh,SD,71.31,142.62
wish,4,2023-10-09,Mrs. Alyssa Reynolds PhD,South Ashley,MN,43.52,174.08
blood,10,2023-08-18,Michael Mason,Port Beverly,NE,50.15,501.5
light,8,2023-02-06,James Hammond,West Mariafurt,GU,62.82,502.56
war,6,2023-03-07,Justin Campbell,Kimberlytown,CT,40.98,245.88
although,5,2023-08-01,Colton Campbell,Derekview,NC,77.41,387.05
research,2,2023-02-07,Sharon Dickerson,New Laura,AL,35.66,71.32
grow,7,2023-12-04,Mariah Velasquez,Rosarioburgh,VT,14.47,101.29
brother,10,2023-04-02,Heather Brown,Albertfort,MO,80.18,801.8
realize,4,2023-12-21,Robert Peters,Riceland,GA,87.14,348.56
view,4,2023-06-14,Gary Williams,East Shariview,MT,70.99,283.96
once,5,2023-07-10,Jessica Petersen,South Kevin,MN,68.64,343.2
career,9,2023-03-22,Dr. Chad Blair MD,Alvarezshire,NH,11.8,106.2
expert,1,2023-12-25,Allison Lopez,Perezside,NM,52.67,52.67
major,3,2023-01-06,Scott Hansen,South Dawnside,VA,68.26,204.78
beat,10,2023-07-24,Melissa Robinson,Smithberg,MH,82.08,820.8
program,4,2023-02-14,Katrina Smith,East Michael,CT,32.72,130.88
bed,5,2023-10-18,Katherine Miller,Stephenshire,LA,74.15,370.75
tell,5,2023-10-10,Marvin Richardson,Johnsonmouth,CA,48.14,240.7
billion,7,2023-02-19,Margaret Benton,New Edward,SD,86.64,606.48
foot,8,2023-10-22,Gerald Smith,Taylorfort,MA,32.68,261.44
nature,8,2023-09-24,Melissa Fry,Christensenton,VI,37.19,297.52
floor,9,2023-07-18,Carl Eaton,Lake Brianshire,RI,84.19,757.71
recently,7,2023-03-29,Gary Lee,North Michaelfort,MT,62.6,438.2
page,1,2023-01-15,Jose Becker,Timothymouth,NY,56.04,56.04
season,6,2023-11-22,Michael Craig,East Lindsay,DC,60.53,363.18
official,10,2022-12-25,Crystal Graves,West Joshuashire,NV,64.81,648.1
plant,5,2023-09-30,Christopher Davis,Mathistown,HI,71.6,358.0
power,8,2023-01-27,Lisa Tyler,North Jacob,IA,15.75,126.0
grow,5,2023-11-16,Alvin Malone,Timothyfort,WA,67.65,338.25
floor,5,2023-04-05,Amanda Arroyo,Philipshire,WY,33.5,167.5
move,5,2023-07-18,Kathleen Dunn,Wattsville,GU,26.95,134.75
environmental,9,2023-11-04,Jonathan Miller,West Jeremyside,PW,78.89,710.01
parent,1,2023-05-06,John Mcgrath,Port Tracy,OK,82.49,82.49
check,10,2023-10-03,Adam Moyer,West Judy,WI,46.37,463.7
herself,6,2023-01-16,Cameron Smith,Port Christopherchester,NV,71.27,427.62
blue,1,2023-02-17,Michael Jackson,New Tonya,PW,68.99,68.99
fire,5,2023-10-15,Jessica Thomas MD,East Sarahshire,NM,33.35,166.75
